sample	eois_sp1	eois_sp2	quadrus_sp	heraclides_sp	geometridae_sp1	geometridae_sp2	geometridae_sp3	geometridae_sp4	geometridae_sp5	geometridae_sp6	geometridae_sp7	geometridae_sp8	gonodonta_sp1	arctiinae_sp1	arctiinae_sp2	caterpillar_sp1	caterpillar_sp2	memphis_sp
12h1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13h3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
28h1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32h1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
40h2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
41h1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45h1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
45h3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
58h2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
61h3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74h3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
89h1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
89h2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1h2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1h3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
7h2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15h1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15h3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
23h2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31h2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2bh3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
6bh1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
47h3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26bh1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
